epoch,accuracy,loss,lr,top3_acc,val_accuracy,val_loss,val_top3_acc
0,0.1529947966337204,8.949101448059082,0.001,0.4012586772441864,0.23733863234519958,7.43380069732666,0.564051628112793
1,0.1948784738779068,7.746915817260742,0.001,0.4856770932674408,0.2482621669769287,6.688307762145996,0.6305859088897705
2,0.2287326455116272,6.772918701171875,0.001,0.5338541865348816,0.29890763759613037,5.955554485321045,0.6623634696006775
3,0.2413194477558136,5.910094261169434,0.001,0.5564236044883728,0.2671300768852234,5.310995101928711,0.64250248670578
4,0.2730034589767456,5.143868923187256,0.001,0.5941840410232544,0.3118172883987427,4.625162601470947,0.7020853757858276
5,0.3001302182674408,4.523691654205322,0.001,0.6358506679534912,0.32869911193847656,4.109457015991211,0.7368420958518982
6,0.3155381977558136,4.020044326782227,0.001,0.6325954794883728,0.41708043217658997,3.654442548751831,0.7537239193916321
7,0.3296440839767456,3.6059536933898926,0.001,0.6727430820465088,0.36146971583366394,3.3522496223449707,0.7100297808647156
8,0.3424479067325592,3.256781816482544,0.001,0.6861979365348816,0.408143013715744,3.0293588638305664,0.7596822381019592
9,0.3578559160232544,3.023101568222046,0.001,0.6957465410232544,0.3962264060974121,2.8318798542022705,0.7656404972076416
10,0.3669704794883728,2.8240606784820557,0.001,0.7057291865348816,0.46176761388778687,2.602264404296875,0.8063555359840393
11,0.3650173544883728,2.676445245742798,0.001,0.7042100429534912,0.4091360569000244,2.552487373352051,0.7636544108390808
12,0.3754340410232544,2.5612943172454834,0.001,0.7157118320465088,0.4458788335323334,2.383415937423706,0.7874875664710999
13,0.3849826455116272,2.4951322078704834,0.001,0.7176649570465088,0.3386296033859253,2.4446890354156494,0.7209533452987671
14,0.3875868022441864,2.4434921741485596,0.001,0.7174479365348816,0.3525322675704956,2.3601484298706055,0.7656404972076416
15,0.3778211772441864,2.4047536849975586,0.001,0.7196180820465088,0.31281033158302307,2.3813698291778564,0.7328699231147766
16,0.3854166567325592,2.3671905994415283,0.001,0.7241753339767456,0.3505461812019348,2.2983927726745605,0.7537239193916321
17,0.3919270932674408,2.3358700275421143,0.001,0.72265625,0.41608738899230957,2.25264048576355,0.7656404972076416
18,0.3665364682674408,2.3471438884735107,0.001,0.7217881679534912,0.3088381290435791,2.358788251876831,0.6911618709564209
19,0.3838975727558136,2.333773374557495,0.001,0.7044270634651184,0.36047667264938354,2.260981321334839,0.7447865009307861
20,0.3786892294883728,2.3471217155456543,0.001,0.7154948115348816,0.32969215512275696,2.3504369258880615,0.6812313795089722
21,0.3702256977558136,2.34592604637146,0.001,0.7107204794883728,0.3644488453865051,2.256178855895996,0.7586891651153564
22,0.3817274272441864,2.337994337081909,0.001,0.7204861044883728,0.42999008297920227,2.1752161979675293,0.7904667258262634
23,0.3830295205116272,2.3245973587036133,0.001,0.716796875,0.413108229637146,2.217137336730957,0.7547169923782349
24,0.3804253339767456,2.3393142223358154,0.001,0.7118055820465088,0.3525322675704956,2.280050039291382,0.7338629364967346
25,0.388671875,2.3235023021698,0.001,0.7278645634651184,0.42005959153175354,2.1942129135131836,0.7606752514839172
26,0.3821614682674408,2.3474440574645996,0.001,0.7146267294883728,0.4141013026237488,2.233732223510742,0.7408143281936646
27,0.3830295205116272,2.324188470840454,0.001,0.72265625,0.4011916518211365,2.2852041721343994,0.7288976907730103
28,0.3745659589767456,2.321540117263794,0.0005,0.7289496660232544,0.42204567790031433,2.1648287773132324,0.8033763766288757
29,0.3841145932674408,2.2610177993774414,0.0005,0.7282986044883728,0.3833167850971222,2.1325674057006836,0.8013902902603149
30,0.4077690839767456,2.199993371963501,0.0005,0.7345920205116272,0.46276068687438965,2.045029401779175,0.8103277087211609
31,0.40234375,2.1855525970458984,0.0005,0.7424045205116272,0.4369414150714874,2.0058960914611816,0.8232373595237732
32,0.4051649272441864,2.165562391281128,0.0005,0.7352430820465088,0.4240317642688751,2.0538861751556396,0.8013902902603149
33,0.408203125,2.1564674377441406,0.0005,0.734375,0.3962264060974121,2.0564615726470947,0.7517378330230713
34,0.3938802182674408,2.1542701721191406,0.0005,0.7367621660232544,0.3962264060974121,2.071596622467041,0.7408143281936646
35,0.4001736044883728,2.1412599086761475,0.0005,0.7437065839767456,0.4458788335323334,1.9989757537841797,0.802383303642273
36,0.4079861044883728,2.1377832889556885,0.0005,0.7358940839767456,0.4369414150714874,2.000715970993042,0.8033763766288757
37,0.4027777910232544,2.1347525119781494,0.0005,0.744140625,0.4707050621509552,2.004037618637085,0.8093346357345581
38,0.4027777910232544,2.151545524597168,0.0005,0.7476128339767456,0.37437933683395386,2.059166193008423,0.7864945530891418
39,0.3997395932674408,2.1385443210601807,0.0005,0.7417534589767456,0.4826216399669647,1.9981942176818848,0.8212512135505676
40,0.3951822817325592,2.162663459777832,0.0005,0.7313368320465088,0.4577954411506653,2.0208630561828613,0.7775570750236511
41,0.4055989682674408,2.151334047317505,0.0005,0.7465277910232544,0.4389275014400482,2.0231528282165527,0.825223445892334
42,0.4021267294883728,2.135500907897949,0.0005,0.7376301884651184,0.4280039668083191,2.060811758041382,0.7606752514839172
43,0.4064670205116272,2.1308021545410156,0.0005,0.7298176884651184,0.49155908823013306,1.9519643783569336,0.8093346357345581
