epoch,time,train/loss,metrics/accuracy_top1,metrics/accuracy_top5,val/loss,lr/pg0,lr/pg1,lr/pg2
94,3066.66,0.04056,0.93007,0.99501,0.33742,0.0003862,0.0003862,0.0003862
95,3085.64,0.03884,0.94006,0.99501,0.30219,0.0003796,0.0003796,0.0003796
96,3104.06,0.03837,0.93307,0.99501,0.30298,0.000373,0.000373,0.000373
97,3123.66,0.03834,0.94206,0.996,0.27148,0.0003664,0.0003664,0.0003664
98,3142.12,0.03777,0.94006,0.997,0.25948,0.0003598,0.0003598,0.0003598
99,3160.92,0.0429,0.93906,0.996,0.25468,0.0003532,0.0003532,0.0003532
100,3179.79,0.04086,0.93806,0.996,0.25279,0.0003466,0.0003466,0.0003466
101,3198.55,0.03812,0.94406,0.998,0.23651,0.00034,0.00034,0.00034
102,3216.38,0.04308,0.94006,0.998,0.24477,0.0003334,0.0003334,0.0003334
103,3235.98,0.03478,0.94306,0.996,0.25873,0.0003268,0.0003268,0.0003268
104,3254.01,0.03809,0.93706,0.997,0.26724,0.0003202,0.0003202,0.0003202
105,3272.67,0.03541,0.94705,0.996,0.24445,0.0003136,0.0003136,0.0003136
106,3291.52,0.02721,0.94006,0.996,0.2458,0.000307,0.000307,0.000307
107,3310.41,0.02971,0.94406,0.997,0.24046,0.0003004,0.0003004,0.0003004
108,3329.85,0.02614,0.95105,0.99501,0.24149,0.0002938,0.0002938,0.0002938
109,3349.64,0.0336,0.94705,0.997,0.23746,0.0002872,0.0002872,0.0002872
110,3467.89,0.02947,0.95205,0.997,0.22883,0.0002806,0.0002806,0.0002806
111,3485.71,0.03249,0.94905,0.99501,0.24127,0.000274,0.000274,0.000274
112,3504.28,0.02812,0.94905,0.99501,0.25473,0.0002674,0.0002674,0.0002674
113,3523.48,0.02859,0.94905,0.99401,0.2341,0.0002608,0.0002608,0.0002608
114,3541.59,0.02681,0.95305,0.99501,0.22069,0.0002542,0.0002542,0.0002542
115,3560.08,0.02993,0.95005,0.99501,0.21049,0.0002476,0.0002476,0.0002476
116,3578.46,0.02678,0.95405,0.99501,0.22651,0.000241,0.000241,0.000241
117,3597.56,0.0199,0.95005,0.99401,0.24733,0.0002344,0.0002344,0.0002344
118,3616.03,0.02701,0.94505,0.99401,0.25784,0.0002278,0.0002278,0.0002278
119,3635,0.01816,0.94605,0.99401,0.25518,0.0002212,0.0002212,0.0002212
120,3654.19,0.02463,0.94406,0.99401,0.25334,0.0002146,0.0002146,0.0002146
121,3672.51,0.0216,0.94505,0.99401,0.2607,0.000208,0.000208,0.000208
122,3691.11,0.02692,0.94805,0.99401,0.27245,0.0002014,0.0002014,0.0002014
123,3709.83,0.02214,0.94406,0.99501,0.28422,0.0001948,0.0001948,0.0001948
124,3728.7,0.01871,0.94905,0.99401,0.27387,0.0001882,0.0001882,0.0001882
125,3747.17,0.02056,0.95305,0.99401,0.27057,0.0001816,0.0001816,0.0001816
126,3765.74,0.02293,0.95005,0.99301,0.27106,0.000175,0.000175,0.000175
127,3785.17,0.01922,0.94605,0.99401,0.26154,0.0001684,0.0001684,0.0001684
128,3804.17,0.01973,0.94605,0.99501,0.25755,0.0001618,0.0001618,0.0001618
129,3822.07,0.02104,0.94505,0.99501,0.26848,0.0001552,0.0001552,0.0001552
130,3842.09,0.01601,0.94705,0.99501,0.26579,0.0001486,0.0001486,0.0001486
131,3860.59,0.01765,0.94805,0.99501,0.26125,0.000142,0.000142,0.000142
132,3879.14,0.01847,0.94805,0.99501,0.26009,0.0001354,0.0001354,0.0001354
133,3897.65,0.01561,0.94805,0.99501,0.2681,0.0001288,0.0001288,0.0001288
134,3916.75,0.0152,0.94705,0.99501,0.2643,0.0001222,0.0001222,0.0001222
135,3935.06,0.01486,0.94805,0.99501,0.26445,0.0001156,0.0001156,0.0001156
136,3954.76,0.01827,0.94805,0.996,0.25932,0.000109,0.000109,0.000109
137,3973.16,0.01303,0.95005,0.996,0.25932,0.0001024,0.0001024,0.0001024
138,3991.83,0.01382,0.95205,0.996,0.26259,9.58e-05,9.58e-05,9.58e-05
139,4011.32,0.01386,0.95005,0.996,0.25994,8.92e-05,8.92e-05,8.92e-05
140,4030.47,0.01243,0.95105,0.996,0.25465,8.26e-05,8.26e-05,8.26e-05
141,4079.98,0.01296,0.95105,0.996,0.2538,7.6e-05,7.6e-05,7.6e-05
142,23655.9,0.016,0.95105,0.996,0.25394,6.94e-05,6.94e-05,6.94e-05
143,23684,0.01463,0.95305,0.996,0.257,6.28e-05,6.28e-05,6.28e-05
144,23709.9,0.01175,0.95205,0.996,0.25061,5.62e-05,5.62e-05,5.62e-05
145,23739.6,0.01063,0.95305,0.996,0.24918,4.96e-05,4.96e-05,4.96e-05
146,23793,0.01415,0.95305,0.996,0.25148,4.3e-05,4.3e-05,4.3e-05
147,23847.3,0.01174,0.95405,0.996,0.25187,3.64e-05,3.64e-05,3.64e-05
148,23876.3,0.01366,0.95504,0.996,0.24889,2.98e-05,2.98e-05,2.98e-05
149,23903.5,0.01136,0.95504,0.996,0.25372,2.32e-05,2.32e-05,2.32e-05
150,23938.5,0.01022,0.95405,0.996,0.24943,1.66e-05,1.66e-05,1.66e-05
