epoch,time,train/loss,metrics/accuracy_top1,metrics/accuracy_top5,val/loss,lr/pg0,lr/pg1,lr/pg2
29,745.775,0.14494,0.90809,0.99401,0.36856,0.0008152,0.0008152,0.0008152
30,764.63,0.12801,0.91309,0.99401,0.33794,0.0008086,0.0008086,0.0008086
31,783.673,0.15538,0.9041,0.99301,0.40199,0.000802,0.000802,0.000802
32,804.399,0.15378,0.8961,0.99201,0.4357,0.0007954,0.0007954,0.0007954
33,823.766,0.15448,0.91808,0.996,0.36938,0.0007888,0.0007888,0.0007888
34,841.778,0.13271,0.91109,0.99301,0.37801,0.0007822,0.0007822,0.0007822
35,860.421,0.1283,0.90509,0.996,0.34882,0.0007756,0.0007756,0.0007756
36,879.217,0.13244,0.91209,0.996,0.35222,0.000769,0.000769,0.000769
37,897.455,0.10967,0.91409,0.99401,0.3502,0.0007624,0.0007624,0.0007624
38,916.339,0.12496,0.92108,0.996,0.33414,0.0007558,0.0007558,0.0007558
39,935.97,0.14939,0.91209,0.996,0.37288,0.0007492,0.0007492,0.0007492
40,955.096,0.13661,0.91708,0.99501,0.31087,0.0007426,0.0007426,0.0007426
41,973.294,0.12428,0.91309,0.99401,0.33765,0.000736,0.000736,0.000736
42,991.738,0.12434,0.91708,0.99501,0.34795,0.0007294,0.0007294,0.0007294
43,1010.7,0.11297,0.91309,0.99401,0.35747,0.0007228,0.0007228,0.0007228
44,1028.69,0.10496,0.91608,0.99401,0.36349,0.0007162,0.0007162,0.0007162
45,1047.72,0.11736,0.92108,0.996,0.29403,0.0007096,0.0007096,0.0007096
46,1066.56,0.10738,0.92607,0.996,0.31219,0.000703,0.000703,0.000703
47,1086.11,0.11716,0.92008,0.99501,0.32545,0.0006964,0.0006964,0.0006964
48,1104.49,0.09383,0.92507,0.997,0.3398,0.0006898,0.0006898,0.0006898
49,1123.18,0.09694,0.92208,0.99501,0.34724,0.0006832,0.0006832,0.0006832
50,1141.14,0.10213,0.91708,0.99501,0.38578,0.0006766,0.0006766,0.0006766
51,1160.28,0.11513,0.91109,0.997,0.35236,0.00067,0.00067,0.00067
52,1178.99,0.11966,0.92308,0.997,0.33366,0.0006634,0.0006634,0.0006634
53,1197.33,0.10443,0.91009,0.99401,0.34843,0.0006568,0.0006568,0.0006568
54,1217.39,0.09926,0.93207,0.998,0.29736,0.0006502,0.0006502,0.0006502
55,1235.65,0.09669,0.92208,0.996,0.30131,0.0006436,0.0006436,0.0006436
56,1254.43,0.08675,0.92907,0.997,0.3436,0.000637,0.000637,0.000637
57,1272.68,0.08634,0.91908,0.996,0.39044,0.0006304,0.0006304,0.0006304
58,1291.87,0.07876,0.91808,0.99501,0.3828,0.0006238,0.0006238,0.0006238
59,1310.79,0.07815,0.91808,0.99401,0.31238,0.0006172,0.0006172,0.0006172
60,1329.78,0.08468,0.91109,0.99401,0.38344,0.0006106,0.0006106,0.0006106
61,1348.73,0.09409,0.92308,0.999,0.39514,0.000604,0.000604,0.000604
62,1368.35,0.08345,0.91808,0.996,0.31548,0.0005974,0.0005974,0.0005974
63,1386.78,0.07532,0.92807,0.99501,0.32208,0.0005908,0.0005908,0.0005908
64,1405.72,0.07059,0.92807,0.996,0.29453,0.0005842,0.0005842,0.0005842
65,1425.19,0.07056,0.92308,0.996,0.3027,0.0005776,0.0005776,0.0005776
66,1444.61,0.05544,0.92607,0.99401,0.31616,0.000571,0.000571,0.000571
67,1462.84,0.0642,0.93007,0.99501,0.30059,0.0005644,0.0005644,0.0005644
68,1481.68,0.07604,0.93806,0.99501,0.28075,0.0005578,0.0005578,0.0005578
69,1500.5,0.08158,0.92607,0.99501,0.32906,0.0005512,0.0005512,0.0005512
70,1519.07,0.08642,0.93007,0.997,0.27951,0.0005446,0.0005446,0.0005446
71,1537.66,0.08018,0.93407,0.996,0.28252,0.000538,0.000538,0.000538
72,1557.42,0.06301,0.92108,0.997,0.31064,0.0005314,0.0005314,0.0005314
73,1576.13,0.06757,0.92507,0.997,0.33759,0.0005248,0.0005248,0.0005248
74,1594.61,0.0694,0.93007,0.99401,0.32747,0.0005182,0.0005182,0.0005182
75,1612.95,0.04566,0.93307,0.998,0.29817,0.0005116,0.0005116,0.0005116
76,1631.92,0.05277,0.93407,0.996,0.31733,0.000505,0.000505,0.000505
77,1650.36,0.06207,0.93007,0.998,0.33179,0.0004984,0.0004984,0.0004984
78,1669.57,0.07122,0.93207,0.997,0.30606,0.0004918,0.0004918,0.0004918
79,1689.2,0.05554,0.93606,0.997,0.24886,0.0004852,0.0004852,0.0004852
80,1707.78,0.05199,0.92907,0.997,0.27585,0.0004786,0.0004786,0.0004786
81,1726.45,0.05138,0.93906,0.997,0.2662,0.000472,0.000472,0.000472
82,1744.94,0.05775,0.93107,0.999,0.28482,0.0004654,0.0004654,0.0004654
83,1763.2,0.04589,0.94206,0.998,0.271,0.0004588,0.0004588,0.0004588
84,1782.48,0.05201,0.94406,0.997,0.27579,0.0004522,0.0004522,0.0004522
85,1801.06,0.05691,0.92308,0.997,0.28423,0.0004456,0.0004456,0.0004456
86,1819.55,0.05174,0.93806,0.99401,0.27705,0.000439,0.000439,0.000439
87,1837.53,0.04784,0.93506,0.99501,0.30066,0.0004324,0.0004324,0.0004324
